o:END_ID,p:TYPE,s:START_ID
330600,located_in,330603
330600,located_in,330604
330600,located_in,330624
330600,located_in,330681
330600,located_in,330683
330200,located_in,330203
330200,located_in,330205
330200,located_in,330206
330200,located_in,330211
330200,located_in,330212
330200,located_in,330213
330200,located_in,330225
330200,located_in,330226
330200,located_in,330281
330200,located_in,330282
330400,located_in,330402
330400,located_in,330411
330400,located_in,330421
330400,located_in,330424
330400,located_in,330481
330400,located_in,330482
330400,located_in,330483
330800,located_in,330802
330800,located_in,330803
330800,located_in,330822
330800,located_in,330824
330800,located_in,330825
330800,located_in,330881
120000,located_in,120113
120000,located_in,120115
120000,located_in,120106
120000,located_in,120117
120000,located_in,120110
120000,located_in,120112
120000,located_in,120114
120000,located_in,120101
120000,located_in,120116
120000,located_in,120111
120000,located_in,120104
120000,located_in,120118
120000,located_in,120102
120000,located_in,120119
120000,located_in,120103
120000,located_in,120105
540000,located_in,542400
540000,located_in,540400
540000,located_in,540500
540000,located_in,540200
540000,located_in,540300
540000,located_in,540100
540000,located_in,542500
542400,located_in,542421
542400,located_in,542422
542400,located_in,542423
542400,located_in,542424
542400,located_in,542425
542400,located_in,542426
542400,located_in,542427
542400,located_in,542428
542400,located_in,542429
542400,located_in,542430
542400,located_in,542431
540400,located_in,540402
540400,located_in,540421
540400,located_in,540422
540400,located_in,540423
540400,located_in,540424
540400,located_in,540425
540400,located_in,540426
540500,located_in,540502
540500,located_in,540521
540500,located_in,540522
540500,located_in,540523
540500,located_in,540524
540500,located_in,540525
540500,located_in,540526
540500,located_in,540527
540500,located_in,540528
540500,located_in,540529
540500,located_in,540530
540500,located_in,540531
540200,located_in,540202
540200,located_in,540221
540200,located_in,540222
540200,located_in,540223
540200,located_in,540224
540200,located_in,540225
540200,located_in,540226
540200,located_in,540227
540200,located_in,540228
540200,located_in,540229
540200,located_in,540230
540200,located_in,540231
540200,located_in,540232
540200,located_in,540233
540200,located_in,540234
540200,located_in,540235
540200,located_in,540236
540200,located_in,540237
540300,located_in,540302
540300,located_in,540321
540300,located_in,540322
540300,located_in,540323
540300,located_in,540324
540300,located_in,540325
540300,located_in,540326
540300,located_in,540327
540300,located_in,540328
540300,located_in,540329
540300,located_in,540330
